,Sk,Lk,x1_reaching,x2_reaching,x3_reaching,x1_leaving,x2_leaving,x3_leaving
0,0,0.0,39380.34907301815,95.0,1042.39,39380.34907301815,95.0,1042.39
1,8,0.0,39837.865496378894,86.84533964711343,1042.39,40702.85549637889,86.84533964711343,1000.0100000000001
2,11,0.0,40763.02374044544,85.78127575270031,1000.0100000000001,41540.34374044544,85.78127575270031,948.7900000000001
3,6,0.0,41562.262225428894,85.41604728235784,948.7900000000001,42157.86222542889,85.41604728235784,873.44
4,4,0.0,42194.26429999847,84.82171145171237,873.44,42533.52429999847,84.82171145171237,799.24
5,14,0.0,42590.90664302125,83.88078679800964,799.24,43475.11664302125,83.88078679800964,730.69
6,12,0.0,43498.80971771383,83.50827720073724,730.69,43906.22971771383,83.50827720073724,666.34
7,7,0.0,44110.80586999631,80.32347126072895,666.34,44947.37586999631,80.32347126072895,636.37
8,2,0.0,45112.14269599992,77.76803474790619,636.37,45519.71269599992,77.76803474790619,584.31
9,9,0.0,46032.83854006871,69.94572821432087,584.31,46576.65854006871,69.94572821432087,537.5999999999999
10,17,0.0,46712.633532152744,68.02957321797889,537.5999999999999,47045.713532152746,68.02957321797889,515.6999999999999
11,15,0.0,47473.13141912225,61.82469732673988,515.6999999999999,48125.70141912225,61.82469732673988,466.8599999999999
12,13,0.0,48434.03742134429,57.42474992601604,466.8599999999999,49248.447421344295,57.42474992601604,392.6299999999999
13,3,0.0,49338.421812847344,56.244047269529084,392.6299999999999,50222.22181284735,56.244047269529084,350.01999999999987
14,19,0.0,50494.06760983625,52.582035385863605,350.01999999999987,51277.16760983625,52.582035385863605,283.04999999999984
15,16,0.0,51387.80320279224,51.16861482627651,283.04999999999984,51908.33320279224,51.16861482627651,225.12999999999982
16,1,0.0,51959.31680314241,50.55269528834351,225.12999999999982,52724.99680314241,50.55269528834351,175.23999999999984
17,20,0.0,53153.4149366255,45.52081462065739,175.23999999999984,53843.9949366255,45.52081462065739,129.92999999999984
18,18,0.0,53945.48084443858,44.359121274193654,129.92999999999984,54255.790844438576,44.359121274193654,99.83999999999983
19,5,0.0,54324.17771279531,43.57960184212576,99.83999999999983,55073.90771279531,43.57960184212576,58.59999999999983
20,10,0.0,55839.63581608339,34.91150935304394,58.59999999999983,56257.365816083395,34.91150935304394,-1.7053025658242404e-13
21,0,0.0,56725.20583519553,29.904980650982978,-1.7053025658242404e-13,56725.20583519553,29.904980650982978,-1.7053025658242404e-13
