,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
0,0,517867.8648419096,137355401.71820074,False,-11031320.857388414,29588289.64131016
1,1,8483.087810926701,105311026.12039733,True,-3672141.15282699,13124199.332400344
2,2,8386.617822510892,47108012.34652071,True,-1284175.1378151332,5196444.27946578
3,3,7904.68971863475,109948409.19347866,True,-5643686.694542895,18164576.363187395
4,4,7676.396501892934,91444935.12076159,True,-3548760.8475445667,13966780.932462802
5,5,7665.645460731437,11246878.258434366,True,-421833.6352130504,1665369.9213471555
6,6,7385.037147114618,59231658.52283856,True,-1838512.9711474353,8346246.812280067
7,7,7313.384666982568,109089859.87821208,True,-4872041.121103823,18364252.730814032
8,8,6914.1150736057425,58963519.72320593,True,-2087107.4524396171,9240146.069334304
9,9,6914.1150736057425,14871988.518359717,True,-356048.00522119086,1763262.19147179
10,10,6861.667650462369,163798150.9962961,True,-3696209.775196074,21545431.424283423
11,11,6789.553499880331,57015765.737517826,True,-1320207.2553839749,6664609.222090338
12,12,6575.664215878219,49178351.668786734,True,-3097943.3047724036,9648544.78664239
13,13,6499.36693892159,11658105.746792099,True,-525634.0341763379,1958632.7456246843
14,14,6253.21421869729,51197779.19504901,True,-2713888.577954538,9737817.071732847
15,15,6253.21421869729,21322010.926192507,True,-838377.5214308954,3402097.3580586296
16,16,6162.951894822229,45010167.38106588,True,-2224535.762568527,7742999.672693396
17,17,6162.951894822229,81943676.19428474,True,-3824710.607899947,13204125.72907293
18,18,6043.902889572458,47874222.49180031,True,-2574468.6323482553,8423931.50148852
19,19,6040.750045813756,118523783.13189895,True,-3458270.874541631,15768350.975822251
20,20,6040.750045813756,72021605.9896676,True,-2418874.6378840487,10260521.728799079
21,21,6029.507734029964,9222257.235744737,True,-333886.52244464756,1486818.6280466088
22,22,6029.507734029964,108502638.37173629,True,-2391913.4220073274,13206886.106389325
23,23,6029.507734029964,45628446.377168715,True,-1091703.2091914676,5184672.120216114
24,24,5893.327292820586,27062634.624878954,True,-880398.0747628895,3799158.5865033343
25,25,5893.327292820586,40393161.813422,True,-1131112.3903415704,4992527.45356641
26,26,5893.327292820586,32798126.55622297,True,-1077915.9240724982,4697557.180170498
27,27,5893.26580788787,38380403.78546824,True,-1529475.2381196553,5751755.663897358
28,28,5893.26580788787,86048847.95041144,True,-2311057.232908019,10883113.781993257
29,29,5893.26580788787,114758188.22859177,True,-3037007.469036788,14362924.6164119
30,30,5893.26580788787,130860130.752654,True,-3722515.953406423,16564698.744810319
31,31,5893.264357507677,43956923.36400447,True,-1236575.844321344,5746569.8003613
32,32,5893.264357507677,14298088.38871299,True,-539828.6509860684,2131561.9119526898
33,33,5893.264357507677,57692891.77810982,True,-2128822.6521491436,8347939.741121619
34,34,5893.264357507677,24323791.803833023,True,-888242.7089476935,3686538.7356197746
35,35,5893.264357507677,99974044.13632266,True,-3022180.7587998584,13851001.030082358
36,36,5893.264357507677,27071742.531372193,True,-826269.7320054008,3554123.29614584
37,37,5893.264357507677,49263529.52332264,True,-1992435.9398967868,6486529.014797539
